"Name","Source","AC","HP","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","CR"
"Ice Troll","RoT","15 (natural armor)","84 (8d10 + 40)","18","13","20","7","9","7","5 (1,800 XP)"
"Icewind Kobold","IDRotF","14 (hide armor)","9 (2d6 + 2)","7","15","12","8","8","8","1/8 (25 XP)"
"Icewind Kobold Zombie","IDRotF","9 (scraps of hide armor)","19 (3d6 + 9)","8","6","16","3","6","3","1/8 (25 XP)"
"Illithilich","VGM","17 (natural armor)","135 (18d8 + 54)","11","16","16","20","14","16","22 (41,000 XP)"
"Illusionist Wizard","MPMM","12 (15 with mage armor)","44 (8d8 + 8)","9","14","13","16","11","12","3 (700 XP)"
"Immortal Lotus Monk","CM","15 (Unarmored Defense)","65 (10d8 + 20)","12","16","14","11","14","10","5 (1,800 XP)"
"Imp","MM","13","10 (3d4 + 3)","6","17","13","11","12","14","1 (200 XP)"
"Incomplete Dragon Skeleton","DSotDQ","15 (natural armor)","58 (9d10 + 9)","15","16","12","15","15","16","4 (1,100 XP)"
"Incubus","MM","15 (natural armor)","66 (12d8 + 12)","8","17","13","15","12","20","4 (1,100 XP)"
"Indentured Spirit","GGR","11","13 (3d8)","7","13","10","10","12","11","1 (200 XP)"
"Infant Basilisk","OotA","11 (natural armor)","4 (1d4 + 2)","10","8","15","2","8","7","0 (10 XP)"
"Infant Hook Horror","OotA","10 (natural armor)","4 (1d4 + 2)","9","10","15","6","12","7","0 (10 XP)"
"Inkling Mascot","SCC","13","18 (4d4 + 8)","10","16","14","6","7","11","1/4 (50 XP)"
"Inquisitor of the Mind Fire","VRGR","16 (breastplate)","77 (14d8 + 14)","10","14","12","17","16","19","8 (3,900 XP)"
"Inquisitor of the Sword","VRGR","16 (breastplate)","91 (14d8 + 28)","12","14","14","15","18","16","8 (3,900 XP)"
"Inquisitor of the Tome","VRGR","11","77 (14d8 + 14)","10","12","12","19","16","15","8 (3,900 XP)"
"Inspired","ERLW","12 (15 with mage armor)","40 (9d8)","11","14","10","16","10","16","2 (450 XP)"
"Intellect Devourer","MM","12","21 (6d4 + 6)","6","14","13","12","11","10","2 (450 XP)"
"Intelligent Black Pudding","WDMM","7","85 (10d10 + 30)","16","5","16","14","6","1","4 (1,100 XP)"
"Invisible Stalker","MM","14","104 (16d8 + 32)","16","19","14","10","15","11","6 (2,300 XP)"
"Iron Consul","BGDIA","16 (chain mail)","45 (6d8 + 18)","17","11","16","12","15","16","2 (450 XP)"
"Iron Defender","ERLW","17 (natural armor)","30 (4d8 + 12)","16","14","16","8","11","7","1 (200 XP)"
"Iron Golem","MM","20 (natural armor)","210 (20d10 + 100)","24","9","20","3","11","1","16 (15,000 XP)"
"Ironscale Hydra","MOT","17 (natural armor)","181 (11d20 + 66)","22","10","22","2","10","7","12 (8,400 XP)"
"Isolde","VRGR","19 (scale mail)","82 (11d8 + 33)","18","18","16","14","12","16","5 (1,800 XP)"
"Isperia","GGR","17 (natural armor)","261 (18d20 + 72)","20","14","18","23","26","20","21 (33,000 XP)"
"Istarian Drone","DSotDQ","17 (natural armor)","127 (15d8 + 60)","20","10","18","4","10","4","6 (2,300 XP)"
"Ixitxachitl","OotA","15 (natural armor)","18 (4d6 + 4)","12","16","13","12","13","7","1/4 (50 XP)"
"Ixitxachitl Cleric","OotA","15 (natural armor)","18 (4d6 + 4)","12","16","13","12","13","7","1/4 (50 XP)"
"Jabberwock","WBtW","18 (natural armor)","115 (10d12 + 50)","20","12","20","4","7","11","13 (10,000 XP)"
"Jackal","MM","12","3 (1d6)","8","15","11","3","12","6","0 (10 XP)"
"Jackalwere","MM","12","18 (4d8)","11","15","11","13","11","10","1/2 (100 XP)"
"Jaculi","ToA","14 (natural armor)","16 (3d10)","15","14","11","2","8","3","1/2 (100 XP)"
"Jade Giant Spider","OotA","17 (natural armor)","250 (17d10 + 85)","22","9","20","3","11","1","10 (5,900 XP)"
"Jammer Leech","BAM","12 (natural armor)","27 (5d4 + 15)","11","1","16","1","10","1","1 (200 XP)"
"Jarad Vod Savo","GGR","17 (natural armor)","180 (24d8 + 72)","14","16","16","20","16","15","22 (41,000 XP)"
"Jiangshi","VRGR","16 (natural armor)","119 (14d8 + 56)","18","3","18","17","14","12","9 (5,000 XP)"
"Juiblex","MPMM","18 (natural armor)","350 (28d12 + 168)","24","10","23","20","20","16","23 (50,000 XP) or 24 (62,000 XP) when encountered in lair"
"Junior Drow Priestess of Lolth","WDMM","13 (chain shirt)","27 (5d8 + 5)","10","10","12","13","16","13","2 (450 XP)"
"Juvenile Eldritch Horror","KftGV","17 (natural armor)","168 (16d12 + 64)","23","16","18","18","14","12","11 (7,200 XP)"
"Juvenile Hook Horror","OotA","13 (natural armor)","39 (6d8 + 12)","15","10","15","6","12","7","2 (450 XP)"
"Juvenile Kraken","GoS","16 (natural armor)","207 (18d12 + 90)","24","11","20","19","15","17","14 (11,500 XP)"
"Juvenile Mimic","TCE","11","7 (2d4 + 2)","1","12","13","10","13","10","0 (10 XP)"
"Kalaman Soldier","DSotDQ","18 (chain mail, shield)","16 (3d8 + 3)","13","12","12","10","11","10","1/2 (100 XP)"
"Kalaraq Quori","ERLW","18 (natural armor)","161 (19d8 + 76)","12","21","18","23","24","25","19 (22,000 XP)"
"Kalashtar","ERLW","12","16 (3d8 + 3)","12","14","12","13","15","15","1/4 (50 XP)"
"Kamadan","ToA","13 (natural armor)","67 (9d10 + 18)","16","16","14","3","14","10","4 (1,100 XP)"
"Kapak Draconian","DSotDQ","15 (natural armor)","39 (6d8 + 12)","11","17","14","12","13","11","3 (700 XP)"
"Karrnathi Undead Soldier","ERLW","17 (half plate armor)","52 (7d8 + 21)","16","14","16","12","13","5","3 (700 XP)"
"Keg Robot","AI","14 (natural armor)","39 (6d8 + 12)","16","16","15","6","8","5","2 (450 XP)"
"Kelpie","TftYP","14 (natural armor)","67 (9d8 + 27)","14","14","16","7","12","10","4 (1,100 XP)"
"Kender Skirmisher","DSotDQ","14 (leather armor)","14 (4d6)","8","16","10","12","8","14","1/4 (50 XP)"
"Kenku","MM","13","13 (3d8)","10","16","10","11","10","10","1/4 (50 XP)"
"Ki-rin","MPMM","20 (natural armor)","153 (18d10 + 54)","21","16","16","19","20","20","12 (8,400 XP)"
"Kiddywidget","CM","16 (natural armor)","15 (2d6 + 8)","6","14","18","1","10","1","1/2 (100 XP)"
"Killer Whale","MM","12 (natural armor)","90 (12d12 + 12)","19","10","13","3","12","7","3 (700 XP)"
"Kindori","BAM","11 (natural armor)","202 (15d20 + 45)","25","7","17","6","14","7","7 (2,900 XP)"
"Knight","MM","18 (plate armor)","52 (8d8 + 16)","16","11","14","11","11","15","3 (700 XP)"
"Knight of the Black Sword","IDRotF","13 (leather armor)","33 (6d8 + 6)","11","14","12","10","13","14","2 (450 XP)"
"Knight of the Mithral Shield","SKT","20 (plate armor, shield)","52 (8d8 + 16)","16","11","14","11","11","15","3 (700 XP)"
"Knight of the Order","CoS","13 (broken chainmail)","136 (16d8 + 64)","18","14","18","13","16","18","5 (1,800 XP)"
"Knucklehead Trout","IDRotF","12","7 (2d6)","14","14","11","1","6","1","0 (10 XP)"
"Koalinth","GoS","14 (scale mail)","16 (3d8 + 3)","13","11","12","11","10","11","1/2 (100 XP)"
"Koalinth Sergeant","GoS","14 (scale mail)","33 (6d8 + 6)","14","11","12","11","10","12","2 (450 XP)"
"Kobold","MM","12","5 (2d6 - 2)","7","15","9","8","7","8","1/8 (25 XP)"
"Kobold Commoner","TftYP","10","3 (1d6)","10","10","10","10","10","10","0 (10 XP)"
"Kobold Dragonshield","MPMM","15 (leather, shield)","44 (8d6 + 16)","12","15","14","8","9","10","1 (200 XP)"
"Kobold Elite","TftYP","12","7 (2d6 - 2)","7","15","9","8","7","8","1/8 (25 XP)"
"Kobold Inventor","MPMM","12","13 (3d6 + 3)","7","15","12","14","10","8","1/4 (50 XP)"
"Kobold Scale Sorcerer","MPMM","15 (natural armor)","27 (5d6 + 10)","7","15","14","10","9","14","1 (200 XP)"
"Kobold Tinkerer","DoSI","12","10 (3d6)","7","14","10","15","7","9","1/4 (50 XP)"
"Kobold Vampire Spawn","IDRotF","14","39 (6d6 + 18)","10","18","16","8","8","8","3 (700 XP)"
"Koi Prawn","JttRC","13 (natural armor)","16 (3d10)","12","15","11","2","12","5","1/2 (100 XP)"
"Korred","MPMM","17 (natural armor)","93 (11d6 + 55)","23","14","20","10","15","9","7 (2,900 XP)"
"Kraken","MM","18 (natural armor)","472 (27d20 + 189)","30","11","25","22","18","20","23 (50,000 XP)"
"Kraken Priest","MPMM","15 (natural armor)","75 (10d8 + 30)","12","10","16","10","15","14","5 (1,800 XP)"
"Kraul Death Priest","GGR","18 (natural armor)","65 (10d8 + 20)","16","12","14","12","15","10","4 (1,100 XP)"
"Kraul Warrior","GGR","18 (natural armor)","27 (5d8 + 5)","15","12","13","10","11","8","1/2 (100 XP)"
"Kruthik Hive Lord","MPMM","20 (natural armor)","102 (12d10 + 36)","19","16","17","10","14","10","5 (1,800 XP)"
"Kuo-toa","MM","13 (natural armor, shield)","18 (4d8)","13","10","11","11","10","8","1/4 (50 XP)"
"Kuo-toa Archpriest","MM","13 (natural armor)","97 (13d8 + 39)","16","14","16","13","16","14","6 (2,300 XP)"
"Kuo-toa Monitor","MM","13 (natural armor, Unarmored Defense)","65 (10d8 + 20)","14","10","14","12","14","11","3 (700 XP)"
"Kuo-toa Whip","MM","11 (natural armor)","65 (10d8 + 20)","14","10","14","12","14","11","1 (200 XP)"
"Lacedon","TftYP","12","22 (5d8)","13","15","10","7","10","6","1 (200 XP)"
"Lady Illmarrow","ERLW","19 (natural armor)","199 (21d8 + 105)","16","16","20","27","21","24","22 (41,000 XP)"
"Lamia","MM","13 (natural armor)","97 (13d10 + 26)","16","13","15","14","15","16","4 (1,100 XP)"
"Lampad","MOT","15 (natural armor)","52 (8d8 + 16)","12","13","14","11","12","18","3 (700 XP)"
"Large Mimic","WDMM","12 (natural armor)","67 (9d10 + 18)","17","12","15","5","13","8","2 (450 XP)"
"Larva","DMG","9","9 (2d8)","9","9","10","6","10","2","0 (10 XP)"
"Lava Child","WDMM","11","60 (8d8 + 24)","18","13","16","11","10","10","3 (700 XP)"
"Lawmage","GGR","15 (breastplate)","84 (13d8 + 26)","13","12","14","17","14","13","6 (2,300 XP)"
"Lazav","GGR","18 (natural armor)","204 (24d8 + 96)","16","24","18","22","20","22","17 (18,000 XP)"
"Lemure","MM","7","13 (3d8)","10","5","11","1","11","3","0 (10 XP)"
"Leonin Iconoclast","MOT","17 (Unarmored Defense)","67 (9d8 + 27)","14","18","16","13","17","10","5 (1,800 XP)"
"Lesser Death Dragon","DSotDQ","15 (natural armor)","199 (21d10 + 84)","20","10","18","5","10","5","10 (5,900 XP)"
"Lesser Mummy Lord","TftYP","17 (natural armor)","97 (13d8 + 39)","18","10","17","11","18","16","15 (6,500 XP)"
"Lesser Star Spawn Emissary","VRGR","19 (natural armor)","241 (21d8 + 147)","21","18","24","25","20","23","19 (22,000 XP)"
"Leucrotta","MPMM","14 (natural armor)","67 (9d10 + 18)","18","14","15","9","12","6","3 (700 XP)"
"Leviathan","MPMM","17","328 (16d20 + 160)","27","24","30","2","18","17","20 (25,000 XP)"
"Lich","MM","17 (natural armor)","135 (18d8 + 54)","11","16","16","20","14","16","21 (33,000 XP) or 22 (41,000 XP) when encountered in lair"
"Lichen Lich","CM","20 (natural armor)","225 (30d8 + 90)","11","16","16","14","20","16","18 (20,000 XP)"
"Lightning Golem","CM","9","93 (11d8 + 44)","19","9","18","6","10","5","5 (1,800 XP)"
"Lightning Hulk","BGG","15","102 (12d10 + 36)","18","21","16","14","14","15","9 (5,000 XP)"
"Lion","MM","12","26 (4d10 + 4)","17","15","13","3","12","8","1 (200 XP)"
"Liondrake","FTD","16 (natural armor)","119 (14d10 + 42)","19","15","17","6","12","12","7 (2,900 XP)"
"Living Bigby's Hand","IDRotF","20 (natural armor)","52 (5d10 + 25)","26","10","20","1","10","1","4 (1,100 XP)"
"Living Blade of Disaster","IDRotF","14 (natural armor)","67 (9d6 + 36)","10","16","19","6","10","3","8 (3,900 XP)"
"Living Burning Hands","ERLW","15 (natural armor)","15 (2d8 + 6)","10","12","16","3","6","6","1 (200 XP)"
"Living Cloudkill","ERLW","15 (natural armor)","73 (7d10 + 35)","10","15","20","3","11","6","7 (2,900 XP)"
"Living Demiplane","IDRotF","10","31 (7d8)","1","10","10","1","10","1","0 (10 XP)"
"Living Doll","WBtW","11 (natural armor)","28 (8d4 + 8)","3","11","13","10","10","7","2 (450 XP)"
"Living Iron Statue","GoS","16 (natural armor)","102 (12d8 + 48)","16","14","18","6","10","5","5 (1,800 XP)"
"Living Lightning Bolt","ERLW","15 (natural armor)","57 (6d10 + 24)","10","15","18","3","10","6","5 (1,800 XP)"
"Living Unseen Servant","WDMM","10","4 (1d8)","2","10","11","1","10","1","0 (10 XP)"
"Lizard","MM","10","2 (1d4)","2","11","10","1","8","3","0 (10 XP)"
"Lizard King","MM","15 (natural armor)","78 (12d8 + 24)","17","12","15","11","11","15","4 (1,100 XP)"
"Lizard Queen","MM","15 (natural armor)","78 (12d8 + 24)","17","12","15","11","11","15","4 (1,100 XP)"
"Lizardfolk","MM","15 (natural armor, shield)","22 (4d8 + 4)","15","10","13","7","12","7","1/2 (100 XP)"
"Lizardfolk Commoner","GoS","13 (natural armor)","16 (3d8 + 3)","15","10","12","7","12","7","1/4 (50 XP)"
"Lizardfolk Render","GoS","15 (natural armor)","52 (7d10 + 14)","16","10","14","7","12","7","3 (700 XP)"
"Lizardfolk Scaleshield","GoS","16 (scale mail, shield)","32 (5d8 + 10)","15","10","14","7","12","7","1 (200 XP)"
"Lizardfolk Shaman","MM","13 (natural armor)","27 (5d8 + 5)","15","10","13","10","15","8","2 (450 XP)"
"Lizardfolk Subchief","GoS","14 (natural armor)","52 (8d8 + 16)","14","12","14","10","16","12","3 (700 XP)"
"Locathah","GoS","13 (natural armor)","22 (4d8 + 4)","13","12","12","11","10","11","1/2 (100 XP)"
"Locathah Hunter","GoS","14 (natural armor)","33 (6d8 + 6)","13","14","12","11","14","11","2 (450 XP)"
"Lonely Sorrowsworn","MPMM","16 (natural armor)","112 (15d8 + 45)","16","12","17","6","11","6","9 (5,000 XP)"
"Lonelywood Banshee","IDRotF","12","58 (13d8)","1","14","10","12","11","17","4 (1,100 XP)"
"Lords' Alliance Guard","OotA","16 (chain shirt, shield)","11 (2d8 + 2)","14","12","12","10","11","10","1/4 (50 XP)"
"Lords' Alliance Spy","OotA","13 (leather armor)","27 (6d8)","10","15","10","12","14","16","1 (200 XP)"
"Lorehold Apprentice","SCC","12","33 (6d8 + 6)","10","14","13","15","12","11","2 (450 XP)"
"Lorehold Pledgemage","SCC","13","60 (11d8 + 11)","10","16","13","17","12","11","4 (1,100 XP)"
"Lorehold Professor of Chaos","SCC","12","110 (17d8 + 34)","11","14","14","19","15","13","7 (2,900 XP)"
"Lorehold Professor of Order","SCC","12","104 (16d8 + 32)","11","14","14","19","15","13","7 (2,900 XP)"
"Lost Sorrowsworn","MPMM","15 (natural armor)","78 (12d8 + 24)","17","12","15","6","7","5","7 (2,900 XP)"
"Loup Garou","VRGR","16 (natural armor)","170 (20d8 + 80)","18","18","18","14","16","16","13 (10,000 XP)"
"Lunar Dragon Wyrmling","BAM","15 (natural armor)","37 (5d8 + 15)","15","12","16","6","10","9","2 (450 XP)"
"Mad Golem","WDMM","17 (natural armor)","264 (23d12 + 115)","22","9","20","9","11","9","12 (8,400 XP)"
"Mage","MM","12 (15 with mage armor)","40 (9d8)","9","14","11","17","12","11","6 (2,300 XP)"
"Mage Hunter","SCC","15 (natural armor)","85 (10d10 + 30)","19","15","16","11","17","10","5 (1,800 XP)"
"Magewright","ERLW","11","9 (2d8)","11","13","10","14","14","12","0 (10 XP)"
"Magma Mephit","MM","11","22 (5d6 + 5)","8","12","12","7","10","10","1/2 (100 XP)"
"Magmin","MM","14 (natural armor)","9 (2d6 + 2)","7","15","12","8","11","10","1/2 (100 XP)"
"Male Steeder","MPMM","12 (natural armor)","13 (2d8 + 4)","15","12","14","2","10","3","1/4 (50 XP)"
"Malformed Kraken","TftYP","17 (natural armor)","172 (15d12 + 75)","25","11","20","11","15","15","10 (5,900 XP)"
"Mammoth","MM","13 (natural armor)","126 (11d12 + 55)","24","9","21","3","11","6","6 (2,300 XP)"
"Manes","MM","9 (natural armor)","9 (2d6 + 2)","10","9","13","3","8","4","1/8 (25 XP)"
"Manticore","MM","14 (natural armor)","68 (8d10 + 24)","17","16","17","7","12","8","3 (700 XP)"
"Mantrap","ToA","12","45 (7d10 + 7)","15","14","12","1","10","2","1 (200 XP)"
"Marid","MM","17 (natural armor)","229 (17d10 + 136)","22","12","26","18","17","18","11 (7,200 XP)"
"Marilith","MM","18 (natural armor)","189 (18d10 + 90)","18","20","20","18","16","20","16 (15,000 XP)"
"Martial Arts Adept","MPMM","16 (Unarmored Defense)","60 (11d8 + 11)","11","17","13","11","16","10","3 (700 XP)"
"Marut","MPMM","22 (natural armor)","432 (32d10 + 256)","28","12","26","19","15","18","25 (75,000 XP)"
"Master Sage","CM","10","54 (12d8)","8","10","10","20","18","11","5 (1,800 XP)"
"Master Thief","MPMM","16 (studded leather)","84 (13d8 + 26)","11","18","14","11","11","12","5 (1,800 XP)"
"Master of Cruelties","GGR","18 (plate armor)","127 (15d10 + 45)","18","17","16","19","16","21","9 (5,000 XP)"
"Master of Souls","BGDIA","12","45 (6d8 + 18)","10","14","17","19","14","13","4 (1,100 XP)"
"Mastiff","MM","12","5 (1d8 + 1)","13","14","12","3","12","7","1/8 (25 XP)"
"Maurezhi","MPMM","15 (natural armor)","88 (16d8 + 16)","14","17","12","11","12","15","7 (2,900 XP)"
"Maw Demon","MPMM","13 (natural armor)","33 (6d8 + 6)","14","8","13","5","8","5","1 (200 XP)"
"Maw of Yeenoghu","BGG","15 (natural armor)","161 (14d12 + 70)","23","10","21","8","14","10","10 (5,900 XP)"
"Meazel","MPMM","13","35 (10d8 - 10)","8","17","9","14","13","10","1 (200 XP)"
"Mechachimera","OoW","14 (natural armor)","114 (12d10 + 48)","19","11","19","3","14","10","6 (2,300 XP)"
"Medusa","MM","15 (natural armor)","127 (17d8 + 51)","10","15","16","12","13","15","6 (2,300 XP)"
"Medusa","MOT","15 (natural armor)","127 (17d8 + 51)","10","15","16","12","13","15","6 (2,300 XP)"
"Meenlock","MPMM","15 (natural armor)","31 (7d6 + 7)","7","15","12","11","10","8","2 (450 XP)"
"Megapede","BAM","15 (natural armor)","175 (13d20 + 39)","22","10","17","1","10","3","11 (7,200 XP)"
"Meletian Hoplite","MOT","18 (breastplate, shield)","49 (9d8 + 9)","16","14","12","16","13","11","3 (700 XP)"
"Mercane","BAM","13 (mage armor)","75 (10d10 + 20)","16","10","15","18","16","15","5 (1,800 XP)"
"Merfolk","MM","11","11 (2d8 + 2)","10","13","12","11","11","12","1/8 (25 XP)"
"Merfolk Salvager","GoS","12","22 (4d8 + 4)","12","14","12","11","10","13","1 (200 XP)"
"Merfolk Scout","GoS","13 (leather armor)","16 (3d8 + 3)","11","14","12","11","13","11","1/2 (100 XP)"
"Merregon","MPMM","16 (natural armor)","45 (6d8 + 18)","18","14","17","6","12","8","4 (1,100 XP)"
"Merrenoloth","MPMM","13","40 (9d8)","8","17","10","17","14","11","3 (700 XP)"
"Merrow","MM","13 (natural armor)","45 (6d10 + 12)","18","10","15","8","10","9","2 (450 XP)"
"Metal Wasp","WDMM","16 (natural armor)","13 (3d8)","10","14","10","1","10","3","1/2 (100 XP)"
"Metallic Peacekeeper","FTD","17 (natural armor)","68 (8d8 + 32)","17","10","18","14","12","11","4 (1,100 XP)"
"Metallic Warbler","FTD","14 (natural armor)","14 (4d4 + 4)","4","15","12","9","10","12","1/4 (50 XP)"
"Mezzoloth","MM","18 (natural armor)","75 (10d8 + 30)","18","11","16","7","10","11","5 (1,800 XP)"
"Mimic","MM","12 (natural armor)","58 (9d8 + 18)","17","12","15","5","13","8","2 (450 XP)"
"Mimic Chair","CM","12 (natural armor)","30 (9d8 + 18)","17","12","15","5","13","8","2 (450 XP)"
"Mind Drinker Vampire","GGR","14","55 (10d8 + 10)","16","18","12","19","13","14","4 (1,100 XP)"
"Mind Flayer","MM","15 (breastplate)","71 (13d8 + 13)","11","12","12","19","17","17","7 (2,900 XP)"
"Mind Flayer Arcanist","MM","15 (breastplate)","71 (13d8 + 13)","11","12","12","19","17","17","8 (3,900 XP)"
"Mind Flayer Psion","VGM","15 (breastplate)","71 (13d8 + 13)","11","12","12","19","17","17","8 (3,900 XP)"
"Mind Mage","GGR","12 (15 with mage armor)","49 (11d8)","10","14","10","20","15","16","5 (1,800 XP)"
"Mindwitness","MPMM","15 (natural armor)","75 (10d10 + 20)","10","14","14","15","15","10","5 (1,800 XP)"
"Minotaur","MM","14 (natural armor)","76 (9d10 + 27)","18","11","16","6","16","9","3 (700 XP)"
"Minotaur Living Crystal Statue","GoS","15 (natural armor)","136 (16d10 + 48)","18","9","16","6","10","5","6 (2,300 XP)"
"Minotaur Skeleton","MM","12 (natural armor)","67 (9d10 + 18)","18","11","15","6","8","5","2 (450 XP)"
"Mist Hulk","BGG","15","94 (9d10 + 45)","18","21","20","11","13","16","6 (2,300 XP)"
"Moloch","MPMM","19 (natural armor)","253 (22d10 + 132)","26","19","22","21","18","23","21 (33,000 XP)"
"Molten Magma Roper","PotA","20 (natural armor)","93 (11d10 + 33)","18","8","17","7","16","6","5 (1,800 XP)"
"Molydeus","MPMM","19 (natural armor)","216 (16d12 + 112)","28","22","25","21","24","24","21 (33,000 XP)"
"Mongrelfolk","CoS","11 (natural armor)","26 (4d8 + 8)","12","9","15","9","10","6","1/4 (50 XP)"
"Monodrone","MM","15 (natural armor)","5 (1d8 + 1)","10","13","12","4","10","5","1/8 (25 XP)"
"Monstrous Peryton","GoS","14 (natural armor)","144 (17d10 + 51)","19","14","16","9","14","10","11 (7,200 XP)"
"Moonstone Dragon Wyrmling","FTD","17 (natural armor)","39 (6d8 + 12)","16","14","14","16","14","17","2 (450 XP)"
"Mordakhesh","ERLW","18 (plate armor)","170 (20d8 + 80)","20","16","18","15","17","20","15 (13,000 XP)"
"Morkoth","MPMM","17 (natural armor)","165 (22d10 + 44)","14","14","14","20","15","13","11 (7,200 XP) or 12 (8,400 XP) when encountered in lair"
"Mountain Goat","IDRotF","11","13 (2d8 + 4)","14","12","14","2","10","5","1/8 (25 XP)"
"Mouth of Grolantor","MPMM","14 (natural armor)","105 (10d12 + 40)","21","10","18","5","7","5","6 (2,300 XP)"
"Mud Hulk","BGG","13 (natural armor)","68 (8d10 + 24)","16","8","16","5","9","6","3 (700 XP)"
"Mud Mephit","MM","11","27 (6d6 + 6)","8","12","12","9","11","7","1/4 (50 XP)"
"Mule","MM","10","11 (2d8 + 2)","14","10","13","2","10","5","1/8 (25 XP)"
"Mummy","MM","11 (natural armor)","58 (9d8 + 18)","16","8","15","6","10","12","3 (700 XP)"
"Mummy Lord","MM","17 (natural armor)","97 (13d8 + 39)","18","10","17","11","18","16","15 (13,000 XP) or 16 (15,000 XP) when encountered in lair"
"Murder Comet","BAM","19 (natural armor)","66 (7d8 + 35)","15","15","20","6","10","6","5 (1,800 XP)"
"Murgaxor","SCC","16 (blood aegis)","127 (15d8 + 60)","11","14","18","20","12","12","9 (5,000 XP)"
"Myconid Adult","MM","12 (natural armor)","22 (4d8 + 4)","10","10","12","10","13","7","1/2 (100 XP)"
"Myconid Sovereign","MM","13 (natural armor)","60 (8d10 + 16)","12","10","14","13","15","10","2 (450 XP)"
"Myconid Sprout","MM","10","7 (2d6)","8","10","10","8","11","5","0 (10 XP)"
"Nabassu","MPMM","18 (natural armor)","190 (20d8 + 100)","22","14","21","14","15","17","15 (13,000 XP)"
"Nagpa","MPMM","19 (natural armor)","203 (37d8 + 37)","9","15","12","23","18","21","17 (18,000 XP)"
"Naiad","CM","15 (natural armor)","31 (7d8)","10","16","11","15","10","18","2 (450 XP)"
"Naiad","MOT","15 (natural armor)","31 (7d8)","10","16","11","15","10","18","2 (450 XP)"
"Nalfeshnee","MM","18 (natural armor)","184 (16d10 + 96)","21","10","22","19","12","15","13 (10,000 XP)"
"Narzugon","MPMM","20 (plate armor, shield)","112 (15d8 + 45)","20","10","17","16","14","19","13 (10,000 XP)"
"Necrichor","VRGR","12","67 (9d8 + 27)","8","15","17","17","13","10","7 (2,900 XP)"
"Necromancer Wizard","MPMM","12 (15 with mage armor)","110 (20d8 + 20)","9","14","12","17","12","11","9 (5,000 XP)"
"Necromite of Myrkul","BGDIA","11","13 (2d8 + 4)","10","13","15","16","11","10","1/2 (100 XP)"
"Necrotic Centipede","BGDIA","17 (natural armor)","195 (17d12 + 85)","24","13","21","4","10","5","11 (7,200 XP)"
"Needle Blight","MM","12 (natural armor)","11 (2d8 + 2)","12","12","13","4","8","3","1/4 (50 XP)"
"Neh-thalggu","BAM","14 (natural armor)","95 (10d10 + 40)","15","8","18","12","11","7","4 (1,100 XP)"
"Neogi","MPMM","15 (natural armor)","33 (6d6 + 12)","6","16","14","13","12","15","3 (700 XP)"
"Neogi Hatchling","MPMM","11","7 (3d4)","3","13","10","6","10","9","1/8 (25 XP)"
"Neogi Hatchling Swarm","BAM","11","52 (8d8 + 16)","12","13","14","6","10","9","3 (700 XP)"
"Neogi Master","MPMM","15 (natural armor)","71 (11d8 + 22)","6","16","14","16","12","18","4 (1,100 XP)"
"Neogi Pirate","BAM","16 (breastplate)","33 (6d6 + 12)","6","15","14","13","12","15","3 (700 XP)"
"Neogi Void Hunter","BAM","14 (natural armor)","58 (9d8 + 18)","6","16","14","16","12","18","4 (1,100 XP)"
"Neothelid","MPMM","16 (natural armor)","232 (15d20 + 75)","27","7","21","3","16","12","13 (10,000 XP)"
"Nereid","TftYP","13","44 (8d8 + 8)","10","17","12","13","14","16","2 (450 XP)"
"Night Blade","BGDIA","12","11 (2d8 + 2)","11","15","12","10","11","14","1/4 (50 XP)"
"Night Hag","MM","17 (natural armor)","112 (15d8 + 45)","18","15","16","16","14","16","5 (1,800 XP) or 7 (2,900 XP) when part of a coven"
"Night Scavver","BAM","14 (natural armor)","114 (12d12 + 36)","20","15","17","1","10","1","5 (1,800 XP)"
"Nightmare","MM","13 (natural armor)","68 (8d10 + 24)","18","15","16","10","13","15","3 (700 XP)"
"Nightmare Shepherd","MOT","18 (natural armor)","133 (14d10 + 56)","19","15","18","14","17","20","11 (7,200 XP)"
"Nightsea chil-liren","JttRC","11","11 (2d8 + 2)","10","13","12","11","11","12","1/8 (25 XP)"
"Nightveil Specter","GGR","17 (natural armor)","105 (14d8 + 42)","18","19","16","6","17","11","10 (5,900 XP)"
"Nightwalker","MPMM","14","337 (25d12 + 175)","22","19","24","6","9","8","20 (25,000 XP)"
"Nilbog","MPMM","13 (leather armor)","7 (2d6)","8","14","10","10","8","15","1 (200 XP)"
"Nimblewright","WDH","18 (natural armor)","45 (6d8 + 18)","12","18","17","8","10","6","4 (1,100 XP)"
"Niv-Mizzet","GGR","22 (natural armor)","370 (19d20 + 171)","29","14","29","30","17","25","26 (90,000 XP)"
"Nivix Cyclops","GGR","14 (half plate armor)","115 (10d10 + 60)","24","9","22","7","10","9","8 (3,900 XP)"
"Noble","MM","15 (breastplate)","9 (2d8)","11","12","11","12","14","16","1/8 (25 XP)"
"Nosferatu","VRGR","17 (natural armor)","85 (9d8 + 45)","20","18","21","6","17","14","8 (3,900 XP)"
"Nothic","MM","15 (natural armor)","45 (6d8 + 18)","14","16","16","13","10","8","2 (450 XP)"
"Nupperibo","MPMM","13 (natural armor)","11 (2d8 + 2)","16","11","13","3","8","1","1/2 (100 XP)"
